time,sex,edu,age,s1_prop,s2_prop,m11,m12,m14,m22,m21,m24
1996,b,all_edu,50,0.9091996567093178,0.09080034329068215,0.930701732635498,0.0617610402405262,0.0075372434221208096,0.5524006063011441,0.4201579879349439,0.027441405763912016
1996,b,all_edu,52,NA,NA,0.9271383285522461,0.0637423936277628,0.009119279682636261,0.5586423933674929,0.4082930443412919,0.033064562291215203
1996,b,all_edu,54,NA,NA,0.9237464666366577,0.06537223607301712,0.010881283320486546,0.5634892746042898,0.39698967785579325,0.039521047539916955
1996,b,all_edu,56,NA,NA,0.9203799962997437,0.06678610853850842,0.012833923101425171,0.5657488164814182,0.3874969081125533,0.046754275406028646
1996,b,all_edu,58,NA,NA,0.916869580745697,0.06813443638384342,0.014995967969298363,0.5660395302216983,0.37910182142687654,0.054858648351425204
1996,b,all_edu,60,NA,NA,0.9130229353904724,0.06957941502332687,0.017397619783878326,0.5649875182619936,0.3710816286568451,0.06393085308116143
1996,b,all_edu,62,NA,NA,0.9086202383041382,0.07129552960395813,0.020084213465452194,0.563079526300583,0.36286155033386536,0.07405892336555167
1996,b,all_edu,64,NA,NA,0.9034055471420288,0.07347387820482254,0.023120546713471413,0.5606910661953373,0.353985604477678,0.08532332932698476
1996,b,all_edu,66,NA,NA,0.8970731496810913,0.0763305239379406,0.026596326380968094,0.5581156272555599,0.3440859525569853,0.09779842018745487
1996,b,all_edu,68,NA,NA,0.8892470002174377,0.08012019284069538,0.030632780864834785,0.5555839883826621,0.3328628382275681,0.11155317338976983
1996,b,all_edu,70,NA,NA,0.8794529438018799,0.08515589311718941,0.035391151905059814,0.5532759014785342,0.320070335043536,0.12665376347792973
1996,b,all_edu,72,NA,NA,0.8670805096626282,0.09183631464838982,0.04108318313956261,0.5513255288928711,0.3055069258580456,0.14316754524908323
1996,b,all_edu,74,NA,NA,0.8513335585594177,0.10068337991833687,0.047983065247535706,0.5498218393722312,0.2890124629323094,0.16116569769545946
1996,b,all_edu,76,NA,NA,0.8311871290206909,0.11237623542547226,0.05643662437796593,0.5487930767849183,0.27048060432088367,0.18072631889419807
1996,b,all_edu,78,NA,NA,0.8057607412338257,0.1274273805320263,0.06681185960769653,0.5479476789497966,0.2500062473199079,0.20204607373029554
1996,b,all_edu,80,NA,NA,0.7745330333709717,0.14599837735295296,0.07946860045194626,0.5466626504221378,0.22783000472382933,0.2255073448540329
1996,b,all_edu,82,NA,NA,0.7371647357940674,0.16805098950862885,0.09478425979614258,0.5441643454713292,0.20427876107981463,0.2515568934488562
1996,b,all_edu,84,NA,NA,0.6936450004577637,0.19321462512016296,0.11314040422439575,0.5395244337339928,0.17985409411804454,0.28062147214796257
1996,b,all_edu,86,NA,NA,0.6444434523582458,0.22064409404993057,0.13491246104240417,0.5317452616758735,0.1551777947282685,0.31307694359585786
1996,b,all_edu,88,NA,NA,0.5905982851982117,0.24892602860927582,0.1604756861925125,0.5198691321366333,0.13092029978634667,0.34921056807701994
1996,b,all_edu,90,NA,NA,0.53368079662323,0.2760816216468811,0.1902375966310501,0.5031041660883856,0.10773827700015157,0.3891575569114628
1996,b,all_edu,92,NA,NA,0.47561073303222656,0.2996923476457596,0.22469690442085266,0.48096267247129326,0.08622506592334273,0.43281226160536396
1996,b,all_edu,94,NA,NA,0.4183554947376251,0.3171359747648239,0.26450854539871216,0.4533947930730181,0.06687385277390794,0.479731354153074
1996,b,all_edu,96,NA,NA,0.36360591650009155,0.3258829042315483,0.31051117181777954,0.4208803236029479,0.05005033265714057,0.5290693437399115
1996,b,all_edu,98,NA,NA,0.3125362992286682,0.3238109424710274,0.3636527359485626,0.3844358584609344,0.035971018976700526,0.5795931225623651
1996,b,all_edu,100,NA,NA,0.2657206952571869,0.3095376119017601,0.4247417151927948,0.3455047680303206,0.024686536200268384,0.629808695769411
